Name,DisplayName,Faction,Rarity,AgeYears,Power,Speed,HeightCm,Flavor,PortraitPath,SetIndex,LoreEntryNumber,Ability0Id,Ability0Name,Ability0Text,Ability0Effect,Ability0Attribute,Ability0ParamA,Ability0ParamB,Ability1Id,Ability1Name,Ability1Text,Ability1Effect,Ability1Attribute,Ability1ParamA,Ability1ParamB
FCB_Pyromancer_Duelist,Pyromancer Duelist,ArcaneOrders,Uncommon,69,59,66,176,Counts to two. Rarely gets to three.,/Game/Art/Cards/arcane/T_FCB_Pyromancer_Duelist.T_FCB_Pyromancer_Duelist,7,18,Slaughtering,Slaughtering,"When Power is contested, add +5.",FlatBonusOnAttribute,Power,5,0,,,,,,,
FCB_Necrotheologian,Necrotheologian,ArcaneOrders,Rare,410,68,52,247,Wrote the funeral rites for things that never die.,/Game/Art/Cards/arcane/T_FCB_Necrotheologian.T_FCB_Necrotheologian,8,19,GraveRite,Grave-Rite,"On a win, the opponent also loses their weakest card.",OnWinForceExtraCapture,Power,0,0,,,,,,,
FCB_Mirror_Knight_Errant,Mirror Knight Errant,ArcaneOrders,Uncommon,78,57,61,234,"Fights you with your own reflexes, borrowed.",/Game/Art/Cards/arcane/T_FCB_Mirror_Knight_Errant.T_FCB_Mirror_Knight_Errant,9,20,BulwarkOath,Bulwark Oath,"While defending, add 12% to the contested attribute.",PercentBonusWhenDefending,Power,12,0,,,,,,,
FCB_The_Unbound_Theurge,The Unbound Theurge,ArcaneOrders,Mythic,6000,104,71,381,Made a bargain with a god and won the paperwork.,/Game/Art/Cards/arcane/T_FCB_The_Unbound_Theurge.T_FCB_The_Unbound_Theurge,10,21,Spellbreak,Spellbreak,The opponent's abilities do nothing this round.,NullifyOpponentAbilities,Power,0,0,HoardersGreed,Hoarder's Greed,"On a win, also take the top card of the deck.",OnWinTakeDeckTop,Power,0,0
FCB_Storm_Tower_Magus,Storm-Tower Magus,ArcaneOrders,Legendary,520,93,49,255,Channels the sky through a very expensive hat.,/Game/Art/Cards/arcane/T_FCB_Storm_Tower_Magus.T_FCB_Storm_Tower_Magus,11,22,EmberFury,Ember Fury,"When Power is contested, add +9.",FlatBonusOnAttribute,Power,9,0,TitanGirth,Titan Girth,"When Height is contested, add 14%.",PercentBonusOnAttribute,Height,14,0
FCB_Sworn_Shield_of_the_Dawn_Gate,Sworn Shield of the Dawn Gate,OrderOfTheBlade,Common,134,48,51,195,Twenty years on one wall. The wall thanks them occasionally.,/Game/Art/Cards/blade/T_FCB_Sworn_Shield_of_the_Dawn_Gate.T_FCB_Sworn_Shield_of_the_Dawn_Gate,1,23,Thickhide,Thick Hide,"While defending, add 8% to the contested attribute.",PercentBonusWhenDefending,Power,8,0,,,,,,,
FCB_Knight_Errant_of_the_Silver_Brake,Knight-Errant of the Silver Brake,OrderOfTheBlade,Common,38,49,63,146,"Lost a joust, gained a song.",/Game/Art/Cards/blade/T_FCB_Knight_Errant_of_the_Silver_Brake.T_FCB_Knight_Errant_of_the_Silver_Brake,2,24,Surefooted,Surefooted,"When Speed is contested, add +5.",FlatBonusOnAttribute,Speed,5,0,,,,,,,
FCB_Battle_Priest_of_the_Ashen_Rite,Battle Priest of the Ashen Rite,OrderOfTheBlade,Uncommon,44,58,52,246,"Blesses the wound, then widens it.",/Game/Art/Cards/blade/T_FCB_Battle_Priest_of_the_Ashen_Rite.T_FCB_Battle_Priest_of_the_Ashen_Rite,3,25,BulwarkOath,Bulwark Oath,"While defending, add 12% to the contested attribute.",PercentBonusWhenDefending,Power,12,0,,,,,,,
FCB_Order_Marshal,Order Marshal,OrderOfTheBlade,Rare,96,69,62,241,"Drills in the morning, buries in the afternoon.",/Game/Art/Cards/blade/T_FCB_Order_Marshal.T_FCB_Order_Marshal,4,26,FirstCharge,First Charge,"While leading, add 10% to the contested attribute.",PercentBonusWhenLeading,Power,10,0,ElderMemory,Elder Memory,You win ties on Age.,WinsTiesOnAttribute,Age,0,0
FCB_Lancer_of_the_Two_Bridges_Guard,Lancer of the Two-Bridges Guard,OrderOfTheBlade,Uncommon,66,56,70,205,Never lost a bridge.,/Game/Art/Cards/blade/T_FCB_Lancer_of_the_Two_Bridges_Guard.T_FCB_Lancer_of_the_Two_Bridges_Guard,5,27,,,,,,,,,,,,,,
FCB_Grave_Warden_Knight,Grave-Warden Knight,OrderOfTheBlade,Rare,140,71,47,251,Sworn to keep what the legion wants back.,/Game/Art/Cards/blade/T_FCB_Grave_Warden_Knight.T_FCB_Grave_Warden_Knight,6,28,BaneOfTheDead,Death-Bane,+16% against the Undying Legion.,BonusAgainstFaction,Power,16,0,,,,,,,
FCB_Paladin_of_the_Broken_Chain,Paladin of the Broken Chain,OrderOfTheBlade,Epic,688,86,64,230,"Freed ten thousand slaves and one demon, by accident.",/Game/Art/Cards/blade/T_FCB_Paladin_of_the_Broken_Chain.T_FCB_Paladin_of_the_Broken_Chain,7,29,Spellbreak,Spellbreak,The opponent's abilities do nothing this round.,NullifyOpponentAbilities,Power,0,0,HoardersGreed,Hoarder's Greed,"On a win, also take the top card of the deck.",OnWinTakeDeckTop,Power,0,0
FCB_Herald_of_the_Last_Muster,Herald of the Last Muster,OrderOfTheBlade,Rare,88,63,59,285,Reads the names aloud. The line grows shorter.,/Game/Art/Cards/blade/T_FCB_Herald_of_the_Last_Muster.T_FCB_Herald_of_the_Last_Muster,8,30,Oathkeeper,Oathkeeper,"Add 4% per allied trophy in your pile, to 6 trophies.",BonusPerFactionInOwnPile,Power,4,6,,,,,,,
FCB_War_Abbot_of_Ironvow,War-Abbot of Ironvow,OrderOfTheBlade,Legendary,920,96,55,245,Vowed silence in the eleventh year of the siege.,/Game/Art/Cards/blade/T_FCB_War_Abbot_of_Ironvow.T_FCB_War_Abbot_of_Ironvow,9,31,ColossalProwess,Colossal Prowess,"When Power is contested, add 11%.",PercentBonusOnAttribute,Power,11,0,GraveRite,Grave-Rite,"On a win, the opponent also loses their weakest card.",OnWinForceExtraCapture,Power,0,0
FCB_Duellist_of_the_Ninth_Hour,Duellist of the Ninth Hour,OrderOfTheBlade,Rare,325,74,92,203,Wins on the last step of a very long argument.,/Game/Art/Cards/blade/T_FCB_Duellist_of_the_Ninth_Hour.T_FCB_Duellist_of_the_Ninth_Hour,10,32,FeyTrickery,Fey Trickery,"When defending, lose by 7% or less and you win instead.",WinIfMarginWithin,Power,7,0,,,,,,,
FCB_The_Oath_That_Walks,The Oath That Walks,OrderOfTheBlade,Legendary,12000,103,68,290,A vow so old it grew armour and started walking.,/Game/Art/Cards/blade/T_FCB_The_Oath_That_Walks.T_FCB_The_Oath_That_Walks,11,33,Undying,Undying,"Once per match, this card returns to your hand instead of being captured.",OnLoseReturnToHandOnce,Power,0,0,ElderMemory,Elder Memory,You win ties on Age.,WinsTiesOnAttribute,Age,0,0
FCB_Deep_Delver_Sergeant,Deep Delver Sergeant,Ironhold,Common,186,56,52,204,"Three feet of dwarf, forty feet of grudges.",/Game/Art/Cards/ironhold/T_FCB_Deep_Delver_Sergeant.T_FCB_Deep_Delver_Sergeant,1,34,Thickhide,Thick Hide,"While defending, add 8% to the contested attribute.",PercentBonusWhenDefending,Power,8,0,,,,,,,
FCB_Runesmith_of_the_Ninth_Forge,Runesmith of the Ninth Forge,Ironhold,Uncommon,173,58,53,191,Hammers blessings into steel while they are still hot.,/Game/Art/Cards/ironhold/T_FCB_Runesmith_of_the_Ninth_Forge.T_FCB_Runesmith_of_the_Ninth_Forge,2,35,BulwarkOath,Bulwark Oath,"While defending, add 12% to the contested attribute.",PercentBonusWhenDefending,Power,12,0,,,,,,,
FCB_Anvil_Brawler,Anvil-Brawler,Ironhold,Common,180,61,52,197,Argues with metal. Metal loses.,/Game/Art/Cards/ironhold/T_FCB_Anvil_Brawler.T_FCB_Anvil_Brawler,3,36,Slaughtering,Slaughtering,"When Power is contested, add +5.",FlatBonusOnAttribute,Power,5,0,,,,,,,
FCB_Stonebridge_Warden,Stonebridge Warden,Ironhold,Rare,218,72,32,760,Holds the bridge. Has held it for a while.,/Game/Art/Cards/ironhold/T_FCB_Stonebridge_Warden.T_FCB_Stonebridge_Warden,4,37,TitanGirth,Titan Girth,"When Height is contested, add 14%.",PercentBonusOnAttribute,Height,14,0,BulwarkOath,Bulwark Oath,"While defending, add 12% to the contested attribute.",PercentBonusWhenDefending,Power,12,0
FCB_Golem_of_the_Hollow_Vault,Golem of the Hollow Vault,Ironhold,Rare,214,76,26,980,"Doors, but very slowly and with great opinion.",/Game/Art/Cards/ironhold/T_FCB_Golem_of_the_Hollow_Vault.T_FCB_Golem_of_the_Hollow_Vault,5,38,TitanGirth,Titan Girth,"When Height is contested, add 14%.",PercentBonusOnAttribute,Height,14,0,,,,,,,
FCB_Forge_Titan_Kurnold,Forge-Titan Kurnold,Ironhold,Epic,573,89,24,1600,"Anvils its hammer on the mountain, for practice.",/Game/Art/Cards/ironhold/T_FCB_Forge_Titan_Kurnold.T_FCB_Forge_Titan_Kurnold,6,39,ColossalProwess,Colossal Prowess,"When Power is contested, add 11%.",PercentBonusOnAttribute,Power,11,0,Spellbreak,Spellbreak,The opponent's abilities do nothing this round.,NullifyOpponentAbilities,Power,0,0
FCB_Grudge_Keeper_of_the_Long_Hall,Grudge-Keeper of the Long Hall,Ironhold,Legendary,1400,94,38,200,"Four centuries of wrongs, alphabetised.",/Game/Art/Cards/ironhold/T_FCB_Grudge_Keeper_of_the_Long_Hall.T_FCB_Grudge_Keeper_of_the_Long_Hall,7,40,ElderMemory,Elder Memory,You win ties on Age.,WinsTiesOnAttribute,Age,0,0,DeepRoots,Deep Roots,"When Age is contested, add 15%.",PercentBonusOnAttribute,Age,15,0
FCB_Boulder_Shaped_Berserker,Boulder-Shaped Berserker,Ironhold,Uncommon,98,62,52,226,Rolls downhill. Calls it tactics.,/Game/Art/Cards/ironhold/T_FCB_Boulder_Shaped_Berserker.T_FCB_Boulder_Shaped_Berserker,8,41,FirstCharge,First Charge,"While leading, add 10% to the contested attribute.",PercentBonusWhenLeading,Power,10,0,,,,,,,
FCB_Gilded_Vault_Warden,Gilded Vault Warden,Ironhold,Epic,390,83,42,240,"Paid in coin, guarding coin, counting coin.",/Game/Art/Cards/ironhold/T_FCB_Gilded_Vault_Warden.T_FCB_Gilded_Vault_Warden,9,42,HoardMagic,Hoard-Magic,+2 score per pot card when you claim the pot.,PotScoreBonusOnWin,Power,2,0,HoardersGreed,Hoarder's Greed,"On a win, also take the top card of the deck.",OnWinTakeDeckTop,Power,0,0
FCB_Steam_Maul_Engineer,Steam-Maul Engineer,Ironhold,Rare,152,68,55,185,Her machine works. Do not ask about the noise.,/Game/Art/Cards/ironhold/T_FCB_Steam_Maul_Engineer.T_FCB_Steam_Maul_Engineer,10,43,Stormstride,Stormstride,"When Speed is contested, add +9.",FlatBonusOnAttribute,Speed,9,0,,,,,,,
FCB_The_First_Ancestor,The First Ancestor,Ironhold,Legendary,21000,106,22,2200,Carved before mountains agreed to stay put.,/Game/Art/Cards/ironhold/T_FCB_The_First_Ancestor.T_FCB_The_First_Ancestor,11,44,Undying,Undying,"Once per match, this card returns to your hand instead of being captured.",OnLoseReturnToHandOnce,Power,0,0,TitanGirth,Titan Girth,"When Height is contested, add 14%.",PercentBonusOnAttribute,Height,14,0
FCB_Sprite_of_the_Dew_Market,Sprite of the Dew Market,FeyCourt,Common,24,21,84,25,Sells dew. Delivers it before you agree.,/Game/Art/Cards/fey/T_FCB_Sprite_of_the_Dew_Market.T_FCB_Sprite_of_the_Dew_Market,1,45,Surefooted,Surefooted,"When Speed is contested, add +5.",FlatBonusOnAttribute,Speed,5,0,,,,,,,
FCB_Thorn_Riding_Piskie,Thorn-Riding Piskie,FeyCourt,Common,35,36,78,70,"Steals buttons, then the regiment.",/Game/Art/Cards/fey/T_FCB_Thorn_Riding_Piskie.T_FCB_Thorn_Riding_Piskie,2,46,,,,,,,,,,,,,,
FCB_Hedge_Knight_of_the_Green_March,Hedge-Knight of the Green March,FeyCourt,Uncommon,80,54,68,175,"Chivalry, but the clauses favour him.",/Game/Art/Cards/fey/T_FCB_Hedge_Knight_of_the_Green_March.T_FCB_Hedge_Knight_of_the_Green_March,3,47,BulwarkOath,Bulwark Oath,"While defending, add 12% to the contested attribute.",PercentBonusWhenDefending,Power,12,0,,,,,,,
FCB_Fae_of_the_Ninefold_Name,Fae of the Ninefold Name,FeyCourt,Rare,900,66,63,227,Tell it your name and it owns the second syllable.,/Game/Art/Cards/fey/T_FCB_Fae_of_the_Ninefold_Name.T_FCB_Fae_of_the_Ninefold_Name,4,48,ElderMemory,Elder Memory,You win ties on Age.,WinsTiesOnAttribute,Age,0,0,,,,,,,
FCB_Court_Dancer_Unfinished,"Court Dancer, Unfinished",FeyCourt,Rare,132,64,88,188,Her solo has lasted three human generations.,/Game/Art/Cards/fey/T_FCB_Court_Dancer_Unfinished.T_FCB_Court_Dancer_Unfinished,5,49,FeyTrickery,Fey Trickery,"When defending, lose by 7% or less and you win instead.",WinIfMarginWithin,Power,7,0,Stormstride,Stormstride,"When Speed is contested, add +9.",FlatBonusOnAttribute,Speed,9,0
FCB_Oberon_s_Hounds,Oberon's Hounds,FeyCourt,Rare,294,81,90,237,They do not chase. They arrive.,/Game/Art/Cards/fey/T_FCB_Oberon_s_Hounds.T_FCB_Oberon_s_Hounds,6,50,FirstCharge,First Charge,"While leading, add 10% to the contested attribute.",PercentBonusWhenLeading,Power,10,0,,,,,,,
FCB_Grinning_Hollow_Man,Grinning Hollow Man,FeyCourt,Uncommon,78,52,59,215,"No face, all expression.",/Game/Art/Cards/fey/T_FCB_Grinning_Hollow_Man.T_FCB_Grinning_Hollow_Man,7,51,CursedRelic,Cursed,Subtract 12% from every attribute.,AlwaysPenalty,Power,-12,0,,,,,,,
FCB_Wisp_Warden,Wisp Warden,FeyCourt,Common,27,26,74,45,Carries lanterns; is the lantern.,/Game/Art/Cards/fey/T_FCB_Wisp_Warden.T_FCB_Wisp_Warden,8,52,DeepRoots,Deep Roots,"When Age is contested, add 15%.",PercentBonusOnAttribute,Age,15,0,,,,,,,
FCB_The_Autumn_Queen,The Autumn Queen,FeyCourt,Legendary,3000,90,66,215,Every deal she offers is fair. Twice.,/Game/Art/Cards/fey/T_FCB_The_Autumn_Queen.T_FCB_The_Autumn_Queen,9,53,Spellbreak,Spellbreak,The opponent's abilities do nothing this round.,NullifyOpponentAbilities,Power,0,0,Oathkeeper,Oathkeeper,"Add 4% per allied trophy in your pile, to 6 trophies.",BonusPerFactionInOwnPile,Power,4,6
FCB_Briar_Colossus,Briar Colossus,FeyCourt,Uncommon,594,86,28,1300,"A hedge, technically. A catastrophe, practically.",/Game/Art/Cards/fey/T_FCB_Briar_Colossus.T_FCB_Briar_Colossus,10,54,TitanGirth,Titan Girth,"When Height is contested, add 14%.",PercentBonusOnAttribute,Height,14,0,Thickhide,Thick Hide,"While defending, add 8% to the contested attribute.",PercentBonusWhenDefending,Power,8,0
FCB_Twelfth_Night_Trickster,Twelfth-Night Trickster,FeyCourt,Epic,8000,99,104,298,Keeps the last hour of every year as a spare.,/Game/Art/Cards/fey/T_FCB_Twelfth_Night_Trickster.T_FCB_Twelfth_Night_Trickster,11,55,FeyTrickery,Fey Trickery,"When defending, lose by 7% or less and you win instead.",WinIfMarginWithin,Power,7,0,HoardersGreed,Hoarder's Greed,"On a win, also take the top card of the deck.",OnWinTakeDeckTop,Power,0,0
FCB_Bone_Sentry_of_the_Low_Gate,Bone Sentry of the Low Gate,UndyingLegion,Common,234,53,45,200,Twenty lifetimes on night shift.,/Game/Art/Cards/undying/T_FCB_Bone_Sentry_of_the_Low_Gate.T_FCB_Bone_Sentry_of_the_Low_Gate,1,56,Thickhide,Thick Hide,"While defending, add 8% to the contested attribute.",PercentBonusWhenDefending,Power,8,0,,,,,,,
FCB_Wailing_Wraith,Wailing Wraith,UndyingLegion,Common,37,41,66,225,"Loudest at three in the morning, always.",/Game/Art/Cards/undying/T_FCB_Wailing_Wraith.T_FCB_Wailing_Wraith,2,57,DeepRoots,Deep Roots,"When Age is contested, add 15%.",PercentBonusOnAttribute,Age,15,0,,,,,,,
FCB_Grave_Touched_Ghoul,Grave-Touched Ghoul,UndyingLegion,Uncommon,80,61,58,196,Digs with a courtesy it does not extend.,/Game/Art/Cards/undying/T_FCB_Grave_Touched_Ghoul.T_FCB_Grave_Touched_Ghoul,3,58,Slaughtering,Slaughtering,"When Power is contested, add +5.",FlatBonusOnAttribute,Power,5,0,,,,,,,
FCB_Crypt_Bishop,Crypt Bishop,UndyingLegion,Uncommon,191,55,51,206,Reads last rites over the wrong books.,/Game/Art/Cards/undying/T_FCB_Crypt_Bishop.T_FCB_Crypt_Bishop,4,59,HoardMagic,Hoard-Magic,+2 score per pot card when you claim the pot.,PotScoreBonusOnWin,Power,2,0,,,,,,,
FCB_Vampire_of_the_Pale_Waltz,Vampire of the Pale Waltz,UndyingLegion,Rare,760,68,76,189,"Never ages, always arrives late, never wrong.",/Game/Art/Cards/undying/T_FCB_Vampire_of_the_Pale_Waltz.T_FCB_Vampire_of_the_Pale_Waltz,5,60,FeyTrickery,Fey Trickery,"When defending, lose by 7% or less and you win instead.",WinIfMarginWithin,Power,7,0,ElderMemory,Elder Memory,You win ties on Age.,WinsTiesOnAttribute,Age,0,0
FCB_Skeleton_Chorus,Skeleton Chorus,UndyingLegion,Uncommon,137,64,54,195,"Perfect harmony, no lungs.",/Game/Art/Cards/undying/T_FCB_Skeleton_Chorus.T_FCB_Skeleton_Chorus,6,61,AncientBlood,Ancient Blood,You win ties on Age.,WinsTiesOnAttribute,Age,0,0,,,,,,,
FCB_Bog_Revenant,Bog Revenant,UndyingLegion,Epic,1900,84,41,257,Drowned twice. Found both times.,/Game/Art/Cards/undying/T_FCB_Bog_Revenant.T_FCB_Bog_Revenant,7,62,Undying,Undying,"Once per match, this card returns to your hand instead of being captured.",OnLoseReturnToHandOnce,Power,0,0,BulwarkOath,Bulwark Oath,"While defending, add 12% to the contested attribute.",PercentBonusWhenDefending,Power,12,0
FCB_Lich_of_the_Sunless_Crown,Lich of the Sunless Crown,UndyingLegion,Epic,4300,97,52,284,His phylactery is in the bank. In escrow. Interest accruing.,/Game/Art/Cards/undying/T_FCB_Lich_of_the_Sunless_Crown.T_FCB_Lich_of_the_Sunless_Crown,8,63,Spellbreak,Spellbreak,The opponent's abilities do nothing this round.,NullifyOpponentAbilities,Power,0,0,GraveRite,Grave-Rite,"On a win, the opponent also loses their weakest card.",OnWinForceExtraCapture,Power,0,0
FCB_Plague_Heralds,Plague Heralds,UndyingLegion,Rare,356,66,59,236,Cleared the city three days before the bells.,/Game/Art/Cards/undying/T_FCB_Plague_Heralds.T_FCB_Plague_Heralds,9,64,GraveRite,Grave-Rite,"On a win, the opponent also loses their weakest card.",OnWinForceExtraCapture,Power,0,0,,,,,,,
FCB_The_Rotting_Colossus,The Rotting Colossus,UndyingLegion,Uncommon,573,88,25,1500,A siege that forgot to stop walking.,/Game/Art/Cards/undying/T_FCB_The_Rotting_Colossus.T_FCB_The_Rotting_Colossus,10,65,TitanGirth,Titan Girth,"When Height is contested, add 14%.",PercentBonusOnAttribute,Height,14,0,CursedRelic,Cursed,Subtract 12% from every attribute.,AlwaysPenalty,Power,-12,0
FCB_First_Lich_Last_Silence,"First Lich, Last Silence",UndyingLegion,Epic,742365,105,37,436,He remembered death before it had a name.,/Game/Art/Cards/undying/T_FCB_First_Lich_Last_Silence.T_FCB_First_Lich_Last_Silence,11,66,Undying,Undying,"Once per match, this card returns to your hand instead of being captured.",OnLoseReturnToHandOnce,Power,0,0,Spellbreak,Spellbreak,The opponent's abilities do nothing this round.,NullifyOpponentAbilities,Power,0,0
FCB_Hellhound_Pup,Hellhound Pup,AbyssalHorde,Common,31,48,74,90,"Chews boots, then the leg they were on.",/Game/Art/Cards/abyss/T_FCB_Hellhound_Pup.T_FCB_Hellhound_Pup,1,67,Slaughtering,Slaughtering,"When Power is contested, add +5.",FlatBonusOnAttribute,Power,5,0,,,,,,,
FCB_Pit_Brute,Pit Brute,AbyssalHorde,Common,109,56,43,230,Subtlety is a luxury of the upper spheres.,/Game/Art/Cards/abyss/T_FCB_Pit_Brute.T_FCB_Pit_Brute,2,68,,,,,,,,,,,,,,
FCB_Contract_Imp,Contract Imp,AbyssalHorde,Uncommon,46,33,81,55,Reads the fine print aloud. Always wins.,/Game/Art/Cards/abyss/T_FCB_Contract_Imp.T_FCB_Contract_Imp,3,69,Surefooted,Surefooted,"When Speed is contested, add +5.",FlatBonusOnAttribute,Speed,5,0,CursedRelic,Cursed,Subtract 12% from every attribute.,AlwaysPenalty,Power,-12,0
